IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,TOTAL_FLIGHTS,UNITED_FLIGHTS,DELTA_FLIGHTS,AMERICAN_FLIGHTS,OTHER_FLIGHTS,UNITED_IN_DELAY,DELTA_IN_DELAY,AMERICAN_IN_DELAY,OTHER_IN_DELAY,UNTED_OUT_DELAY,DELTA_OUT_DELAY,AMERICAN_OUT_DELAY,OTHER_OUT_DELAY
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,221806,0,0,0,221806,7.133073305036136,1.3069636646192555,3.3363808322824715,1.4214266460829719,4.331494252873563,2.9700133274100398,4.038151021054298,2.749813238625926
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,295974,0,0,0,295974,5.351524200017827,2.226057213930348,4.4038126813095735,8.149099213397616,5.455962119864841,1.6507162134108366,3.047642803691694,6.831240646323212
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,12473,0,0,0,12473,,4.018126888217522,,8.978306508047586,,-4.873873873873874,,10.35601543318134
SGU,St. George Regional Airport,St George,UT,USA,37.09058,-113.59306,3555,0,0,0,3555,,,,5.227298364354202,,,,1.8734463276836157
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,12199,0,0,0,12199,,-3.611111111111111,,8.313836366849266,,4.896296296296296,,10.161073825503356
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,2684,0,0,0,2684,,,,2.1086792452830188,,,,1.947806354009077
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901,76404,0,0,0,76404,6.0630975143403445,-0.26539923954372624,2.2770914225202965,4.495805549580555,-3.0318225650916104,3.5685975609756095,1.5088652482269505,5.7881004333261625
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,3256,0,0,0,3256,,,,3.4449452672247265,,,,4.9
SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.43942,-66.00183,49309,0,0,0,49309,8.92853304674906,0.7043565014965082,9.505353319057816,7.048024683077336,4.065511640498105,-5.222333333333333,3.5835481099656357,3.554712674543502
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,194403,0,0,0,194403,4.3361762615493955,-1.0088562219477664,3.9261001007725898,0.9133715409658166,4.667852062588905,-0.23706403228721162,4.649728997289973,1.0173721265586564
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,74424,0,0,0,74424,10.061739522307345,-1.0010863661053775,2.5053117782909933,5.711785830884754,2.0875283446712016,3.2437431991294887,6.438979118329466,5.757469761359921
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758,1327,0,0,0,1327,,,,0.6426380368098159,,,,5.880368098159509
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822,74382,0,0,0,74382,2.246225085564727,-5.874357961280126,0.9394871794871795,2.3526899383983575,1.6032958199356913,-6.9996052112120015,1.39531057178116,2.6190984920080536
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67762,3173,0,0,0,3173,,,,8.728468113083498,,,,8.0112063282795
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189,2467,0,0,0,2467,,,,4.947863247863248,,,,6.418803418803419
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411,6740,0,0,0,6740,4.8679706601467,0.34064885496183206,,6.808664259927798,5.284653465346534,0.5870813397129186,,14.115291262135923
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.54532,-94.05834,165,0,0,0,165,,,,23.025974025974026,,,,19.558441558441558
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,93925,0,0,0,93925,14.756666666666666,0.026997840172786176,4.671296296296297,4.58325589254034,18.425675675675677,-0.5860354517942067,2.4736120630568883,5.203116619145753
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.33731,-64.97336,8696,0,0,0,8696,0.9186813186813186,-2.307609860664523,13.715933669790916,4.420640104506858,6.710762331838565,-3.971952535059331,7.694342395297575,5.042449547668754
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,1877,0,0,0,1877,,2.4864864864864864,6.804428044280443,6.576271186440678,,-2.4444444444444446,5.443830570902394,4.495750708215297
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659,1915,0,0,0,1915,,,,3.3208430913348947,,,,1.4521337946943482
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38437,1240,0,0,0,1240,,,,4.587140439932318,,,,6.960950764006792
SWF,Stewart International Airport,Newburgh,NY,USA,41.50409,-74.10484,1385,0,0,0,1385,,,,7.094117647058823,,,,7.04424778761062
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631,11218,0,0,0,11218,,0.6005244755244755,7.874538745387454,7.808374384236453,,-5.237719298245614,-5.981549815498155,2.5336967294350843
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033,6387,0,0,0,6387,,-0.8550607287449393,,9.409090909090908,,-2.5603238866396762,,8.028856243441762
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783,1923,0,0,0,1923,,,,0.18867924528301888,,,,-2.6443701226309924
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,127820,0,0,0,127820,9.091364421416236,1.8891902363425028,5.4738071815051645,4.766826861298862,3.117728772356312,2.564159720876139,4.214567901234568,6.183496143958869
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742,3857,0,0,0,3857,,-2.258403361344538,,3.5055710306406684,,0.029411764705882353,,5.404195804195804
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347,5666,0,0,0,5666,,,,17.43390076059399,,,,11.990256225189462
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,27940,0,0,0,27940,3.986754966887417,-3.880424300867888,7.650021901007446,7.45713729687652,3.466666666666667,-1.0511583011583012,2.214254289485262,5.257957430189416
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,30233,0,0,0,30233,-1.9056603773584906,-4.069356872635561,5.296880733944954,6.990074659639877,0.8490566037735849,-2.074589127686473,0.5616488774383511,3.21406566323387
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74144,-85.58224,5514,0,0,0,5514,,-2.967058823529412,,3.6764837126282908,,-2.296470588235294,,2.7364653243847874
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA,42.4818,-114.48774,1630,0,0,0,1630,,,,3.606699751861042,,,,-1.5801242236024844
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45371,-93.99102,1954,0,0,0,1954,,,,4.766120218579235,,,,5.261437908496732
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239,4599,0,0,0,4599,,,,7.403365165984538,,,,6.648931332423829
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286,13927,0,0,0,13927,,-1.77765843179377,,12.591462369278245,,-3.0560344827586206,,9.974424991417782
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA,29.95423,-81.34291,310,0,0,0,310,,,,1.9315068493150684,,,,8.972222222222221
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992,411,0,0,0,411,,,,-13.761421319796954,,,,-7.52
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672,1870,0,0,0,1870,,,,6.947882736156352,,,,7.0864864864864865
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254,9736,0,0,0,9736,,0.7937142857142857,,9.61309722686268,,-0.6982316029663435,,9.4189234369776
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433,-132.36982,1328,0,0,0,1328,,,,5.375766871165644,,,,4.667180277349769
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764,416,0,0,0,416,,,,4.193236714975845,,,,-1.8653846153846154
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681,18567,0,0,0,18567,,-0.10408921933085502,-8.055555555555555,9.37449584816133,,-1.377110694183865,-12.555555555555555,12.083808844507846
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,1324,0,0,0,1324,,,,0.37116564417177916,,,,-5.632307692307692
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597,3755,0,0,0,3755,,,,3.2591594827586206,,,,2.1844660194174756
