IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,TOTAL_FLIGHTS,UNITED_FLIGHTS,DELTA_FLIGHTS,AMERICAN_FLIGHTS,OTHER_FLIGHTS,UNITED_IN_DELAY,DELTA_IN_DELAY,AMERICAN_IN_DELAY,OTHER_IN_DELAY,UNITED_OUT_DELAY,DELTA_OUT_DELAY,AMERICAN_OUT_DELAY,OTHER_OUT_DELAY
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,12473,0,668,0,11805,0.0,4.018126888217522,0.0,8.978306508047586,0.0,-4.873873873873874,0.0,10.35601543318134
SGU,St. George Regional Airport,St George,UT,USA,37.09058,-113.59306,3555,0,0,0,3555,0.0,0.0,0.0,5.227298364354202,0.0,0.0,0.0,1.873446327683616
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,12199,0,546,0,11653,0.0,-3.611111111111111,0.0,8.313836366849266,0.0,4.896296296296296,0.0,10.161073825503356
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,2684,0,0,0,2684,0.0,0.0,0.0,2.1086792452830188,0.0,0.0,0.0,1.947806354009077
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901,76404,2114,2636,5753,65901,6.0630975143403445,-0.2653992395437262,2.2770914225202965,4.495805549580555,-3.0318225650916104,3.568597560975609,1.5088652482269505,5.7881004333261625
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,3256,0,0,0,3256,0.0,0.0,0.0,3.4449452672247265,0.0,0.0,0.0,4.9
SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.43942,-66.00183,49309,3757,6070,9407,30075,8.92853304674906,0.7043565014965082,9.505353319057816,7.048024683077336,4.065511640498105,-5.222333333333333,3.583548109965636,3.554712674543502
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,194403,2840,66574,6032,118957,4.336176261549396,-1.0088562219477664,3.9261001007725898,0.9133715409658166,4.667852062588905,-0.2370640322872116,4.649728997289973,1.0173721265586564
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,74424,4491,3693,4387,61853,10.061739522307343,-1.0010863661053775,2.5053117782909933,5.711785830884754,2.0875283446712016,3.2437431991294887,6.438979118329466,5.757469761359921
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758,1327,0,0,0,1327,0.0,0.0,0.0,0.6426380368098159,0.0,0.0,0.0,5.880368098159509
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822,74382,10136,5088,9967,49191,2.246225085564727,-5.874357961280126,0.9394871794871796,2.352689938398357,1.6032958199356913,-6.9996052112120015,1.39531057178116,2.6190984920080536
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67762,3173,0,0,0,3173,0.0,0.0,0.0,8.728468113083498,0.0,0.0,0.0,8.0112063282795
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189,2467,0,0,0,2467,0.0,0.0,0.0,4.947863247863248,0.0,0.0,0.0,6.418803418803419
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411,6740,834,4208,0,1698,4.8679706601467,0.340648854961832,0.0,6.808664259927798,5.284653465346534,0.5870813397129186,0.0,14.115291262135925
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.54532,-94.05834,165,0,0,0,165,0.0,0.0,0.0,23.025974025974023,0.0,0.0,0.0,19.55844155844156
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,93925,603,9281,11874,72167,14.756666666666666,0.0269978401727861,4.671296296296297,4.58325589254034,18.42567567567568,-0.5860354517942067,2.4736120630568883,5.203116619145753
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.33731,-64.97336,8696,918,1880,2802,3096,0.9186813186813186,-2.307609860664523,13.715933669790916,4.420640104506858,6.710762331838565,-3.971952535059331,7.694342395297575,5.042449547668754
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,1877,0,74,1091,712,0.0,2.4864864864864864,6.804428044280443,6.576271186440678,0.0,-2.4444444444444446,5.443830570902394,4.495750708215297
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659,1915,0,0,0,1915,0.0,0.0,0.0,3.3208430913348947,0.0,0.0,0.0,1.4521337946943482
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38437,1240,0,0,0,1240,0.0,0.0,0.0,4.587140439932318,0.0,0.0,0.0,6.960950764006792
SWF,Stewart International Airport,Newburgh,NY,USA,41.50409,-74.10484,1385,0,0,0,1385,0.0,0.0,0.0,7.094117647058823,0.0,0.0,0.0,7.04424778761062
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631,11218,0,2293,542,8383,0.0,0.6005244755244755,7.874538745387454,7.808374384236453,0.0,-5.237719298245614,-5.981549815498155,2.5336967294350843
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033,6387,0,2482,0,3905,0.0,-0.8550607287449393,0.0,9.409090909090908,0.0,-2.560323886639676,0.0,8.028856243441762
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783,1923,0,0,0,1923,0.0,0.0,0.0,0.1886792452830188,0.0,0.0,0.0,-2.6443701226309924
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,127820,11702,20804,16406,78908,9.091364421416236,1.8891902363425028,5.4738071815051645,4.766826861298862,3.117728772356312,2.564159720876139,4.214567901234568,6.183496143958869
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742,3857,0,957,0,2900,0.0,-2.258403361344538,0.0,3.5055710306406684,0.0,0.0294117647058823,0.0,5.404195804195804
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347,5666,0,0,0,5666,0.0,0.0,0.0,17.43390076059399,0.0,0.0,0.0,11.990256225189462
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,27940,305,2082,4650,20903,3.986754966887417,-3.880424300867888,7.650021901007446,7.45713729687652,3.466666666666667,-1.0511583011583012,2.214254289485262,5.257957430189416
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,30233,108,1592,5579,22954,-1.9056603773584904,-4.069356872635561,5.296880733944954,6.990074659639877,0.8490566037735849,-2.074589127686473,0.5616488774383511,3.21406566323387
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74144,-85.58224,5514,0,850,0,4664,0.0,-2.967058823529412,0.0,3.6764837126282903,0.0,-2.296470588235294,0.0,2.7364653243847874
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA,42.4818,-114.48774,1630,0,0,0,1630,0.0,0.0,0.0,3.606699751861042,0.0,0.0,0.0,-1.5801242236024844
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45371,-93.99102,1954,0,0,0,1954,0.0,0.0,0.0,4.766120218579235,0.0,0.0,0.0,5.261437908496732
